name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Yale Summer Session for Pre-College Students,ct_local,🟢 Watch List,Typically early April for summer 2026 session,Current high school junior (rising senior). Strong academic record required.,"Approximately $4,300+ per course (tuition + fees). Housing and meals extra.",Limited financial aid available for pre-college students. Need-based.,"Excellent for demonstrating college readiness at Yale. Can take biology, law-related courses. CT location is convenient. Plan for summer after junior year.",https://summer.yale.edu/apply/pre-college-students,https://summer.yale.edu/apply/pre-college-students
Connecticut High School Regional Science Bowl,ct_local,🟢 Watch List,Regional competition typically held in January-March. Team registration in fall.,Connecticut high school teams (grades 9-12). Must form 4-5 person team through school.,Free to participate (team registration through school),Free. Travel costs for national finals covered by DOE.,Great team competition for science interest. Biology questions heavily featured. National finals in DC are prestigious. Check with school science department.,https://science.osti.gov/wdts/nsb/Regional-Competitions/High-School-Regionals/CT_Connecticut-High-School-Regional-Science-Bowl,https://science.osti.gov/wdts/nsb/Regional-Competitions/High-School-Regionals/CT_Connecticut-High-School-Regional-Science-Bowl
Yale Pathways to Science Summer Scholars Program,ct_local,🟢 Watch List,Typically spring for summer program. Check Yale Office of New Haven Affairs for 2026 dates.,New Haven-area high school students (priority given to New Haven Public Schools students). Grades 9-12.,Free,Free. Includes program materials and some meals. No tuition.,Free Yale science program. Excellent for CT-based students in New Haven area. Biology focus available. Check if eligible based on school district.,https://onha.yale.edu/public-schools-and-youth/k-12-program-library/pathways-to-science-summer-scholars-program,https://onha.yale.edu/public-schools-and-youth/k-12-program-library/pathways-to-science-summer-scholars-program
UConn Early College Experience (ECE),ct_local,🟢 Watch List,Ongoing registration through participating high schools. Typically fall and spring semesters.,Connecticut high school students enrolled in participating schools. Must meet course prerequisites.,"Reduced tuition per course (approximately $75-$150 per credit, much lower than standard UConn tuition)","No need-based aid for course fees, but cost is significantly reduced compared to standard college tuition.",Earn transferable college credits while in high school. Strong for demonstrating college readiness. UConn biology ECE courses available at many CT high schools.,https://ece.uconn.edu/,https://ece.uconn.edu/
CT STEM Foundation Scholarships,ct_local,🟢 Watch List,Varies. Typically follows CT STEM Fair participation schedule.,Connecticut high school seniors who participate in the Connecticut STEM Fair.,Free to apply,Scholarship awards for CT STEM Fair participants. Amounts vary.,Incentive to participate in CT STEM Fair. Can combine with CSEF participation.,https://www.ctstemfoundation.org/,https://www.ctstemfoundation.org/
Connecticut Academy of Science and Engineering (CASE) Student Awards,ct_local,🟢 Watch List,Awarded during CT Science & Engineering Fair in spring,Connecticut high school students participating in CSEF with outstanding research projects.,Free (award given at CSEF),Cash awards. No tuition involved.,Additional recognition opportunity when entering CSEF. CASE is a prestigious CT organization.,https://ctcase.org/activities/student-awards/,https://ctcase.org/activities/student-awards/
New England Science Olympiad,ct_local,🟢 Watch List,Tournaments run October-March. School team registration in fall.,Connecticut high school students (grades 9-12). Must participate through school team.,Free through school participation (small materials fee may apply),Free. No tuition. Travel costs may apply for national tournament.,Strong team competition for biology interest. Builds lab skills and content knowledge. Check if school has a team.,https://www.soinc.org/,https://www.soinc.org/
Yale Pathways Research Internships (SSRI),ct_local,🟢 Watch List,Varies. Check Yale SSRI website for 2026 dates.,New Haven-area high school students. Priority for New Haven Public Schools.,Free,Free. May include stipends.,Yale research opportunity for CT students. Social science focus could complement law interest.,https://ssri.sites.yale.edu/,https://ssri.sites.yale.edu/
Yale Young Scholars Summer Program in Biostatistics and Clinical Research,ct_local,🟢 Watch List,Typically spring for summer program. Check YCAS website.,"High school students with interest in biostatistics, public health, or clinical research. Priority for CT/New Haven students.",Free or nominal fee (check for current year),Likely free or low-cost. Grant-funded program.,Yale program combining biology with data science. Unique opportunity at Yale School of Public Health. CT location.,https://ysph.yale.edu/ycas/young-scholars/,https://ysph.yale.edu/ycas/young-scholars/
Connecticut Association of Schools (CAS) Academic Competitions,ct_local,🟢 Watch List,Various throughout academic year. Check CAS website for 2025-2026 calendar.,Connecticut high school students at CAS member schools (most CT public and private schools).,Free through member schools,Free. No tuition.,Multiple competition opportunities. Check with school's CAS coordinator. Academic competitions build resume.; [DEAD: https://cas.casciac.org/],,https://cas.casciac.org/
