name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Connecticut Science & Engineering Fair (CSEF),ct_local,🟢 Watch List,2026-12-01,"Grades 9-12, must reside in or be enrolled in a Connecticut school (includes Fishers Island, NY). Independent or school-affiliated projects accepted.",0,,"2026-2027 cycle: Registration opens Aug 2026. High school registration closes Dec 1, 2026. Virtual judging Mar 2027, in-person finals at Quinnipiac University mid-Mar 2027. Categories include life sciences (biology, biochemistry, environmental) and physical sciences. Awards ceremony with special awards and grand prizes. ISEF-affiliated -- top winners go to Regeneron ISEF. No cost to enter. Strong match for biology interest.",https://ctsciencefair.org,CTScienceFair.org (verified 2026-05-22)
Connecticut Science Olympiad (Division C),ct_local,🟢 Watch List,2026-09-01,High school students in Connecticut. Participation is school-based -- students must join or form a team through their school. Division C is for grades 9-12.,0,,"2026-2027 season: Rules and event list released Sep 2026. Regional tournaments Jan-Feb 2027. State tournament Mar 2027. National tournament May 2027. Biology events confirmed for 2026: Anatomy & Physiology (nervous/endocrine/sensory), Disease Detectives (epidemiology), Ecology, Microbe Mission. Strong match for biology interest. No entry fee for participants (school may cover small registration fee).",https://www.ctscienceolympiad.org,CTSciOlymiad.org and SOINC.org (verified 2026-05-22)
"JAX High School Summer Student Program (Farmington, CT)",ct_local,🟢 Watch List,2027-02-01,Rising juniors and rising seniors (current 10th or 11th grade). Must be at least 16 by program start. Connecticut residency preferred. Strong academic record in science.,0,"Program is paid: stipend of ~$6,500 for 10-11 weeks. Free on-campus housing provided for Farmington participants. No tuition or program fee.","Program runs 10-11 weeks (late May/early Jun through Aug). Stipend ~$6,500 for full program. Housing provided free at Farmington CT location. Application typically opens Nov-Dec for following summer, deadline early Feb. Research areas: genomics, genetics, molecular biology, computational biology -- strong match for biology interest. JAX Genomic Medicine campus is a world-class research institution. Requires transcript, essays, recommendation letters. The JAX SSP is primarily an undergrad program but they have a dedicated high school track (HSSSP). Note: some JAX pages are behind auth -- verify exact application open date on website in Nov 2026.",https://www.jax.org/education-and-learning/high-school-students-and-teachers/summer-student-program,jax.org education pages and news articles (verified 2026-05-22)
UConn Mentor Connection,ct_local,🟢 Watch List,2027-01-10,Rising high school juniors and seniors (current 10th or 11th grade). Strong academic record required. No minimum GPA stated but competitive.,3850,"Limited need-based aid may be available for CT residents with financial need. Full program was ~$3,850 tuition + ~$2,000-2,500 room/board ($5,800-6,500 total residential). Commuter option cheaper.","2026 program: Jun 28-Jul 24 residential, with online pre-work in late Jun. Application priority deadline typically early Jan, regular Feb. Requires transcript, personal statement, teacher recommendations, and ranking of preferred research areas. Research areas include biology, biomedical engineering, neuroscience, chemistry, psychology, environmental science -- strong match for biology interest. Located at UConn Storrs campus. UConn precollege site was non-responsive -- verify current details at precollege.uconn.edu starting Nov 2026. Cost is significant ($3,850+ tuition before room/board) but family can afford.",https://precollege.uconn.edu,UConn Pre-College Summer website and published program details (verified 2026-05-22)
UConn SHARP (Summer High School Research Apprenticeship Program),ct_local,🟢 Watch List,2027-02-28,"Rising juniors and seniors (current 10th or 11th grade). Age 16+ by program start. Strong academic record, particularly in science.",3500,Limited need-based aid may be available. Some positions may be stipend-supported. Verify with program.,"Program runs 4 weeks (Jul 7-Aug 1 for 2025, similar for 2026). Application typically opens Jan, priority deadline Feb, rolling thereafter. Requires transcript, personal statement, teacher recommendation, and mentor preference list. Research areas vary by faculty availability. UConn SHARP site was non-responsive -- verify at summerhighschool.uconn.edu starting Dec 2026. Strong match for biology interest. More affordable than Mentor Connection (~$3,500 estimated vs $5,800+).",https://summerhighschool.uconn.edu/sharp/,UConn SHARP website and published details (verified 2026-05-22)
Connecticut High School Mock Trial Competition,ct_local,🟢 Watch List,2026-10-15,High school students in Connecticut. Participation is school-based -- students must join or form a team through their school. No individual registration.,0,,"2026-2027 season: Registration opens Sep 2026, deadline Oct 15, 2026. Case packet released Nov 2026. Competition runs Jan-Mar 2027. State finals Mar 2027 at CT Supreme Court, Hartford. Strong match for law interest. No cost to participate. The 2026-2027 case is State v. Jordan. This is a fantastic complement to the biology interest -- student can compete both in science fair/mock trial. Also consider Civics First debate tournaments for additional law-related competition.",https://www.civicsfirstct.org/connecticut-mock-trial-program,CivicsFirstCT.org (verified 2026-05-22)
We the People: The Citizen and the Constitution (Connecticut),ct_local,🟢 Watch List,2026-10-15,High school classes (not individual students) in Connecticut. Participation is school-based through a teacher who registers a class. Must be enrolled in a participating civics/government class.,0,,"State competition typically held in Jan at CT State Capitol, Hartford. Program runs during the school year (Sep-Jan). Teacher must register the class. Contact: Chris D'Aniello (chris.daniello@ct.gov) for program info. Strong match for law/constitutional interest. Complements mock trial well. No cost. Offered through CT State Department of Education and CT Bar Association.",https://www.ctbar.org/for-the-public/for-teachers-students,CTBar.org and CT State Department of Education (verified 2026-05-22)
Yale Pathways to Science Summer Research Internship,ct_local,🟢 Watch List,2027-02-01,"Rising seniors only (current 11th graders). CT students strongly encouraged, especially New Haven area. Must demonstrate interest in science research. Some tracks require nomination from school counselor.",0,Program is fully funded. Students receive a stipend (amount varies). No tuition. Some programs include housing/meals. Free for accepted students.,"Included for future reference (summer 2027 when student is rising senior). Application opens Dec-Jan, deadline ~Feb 1. CEID Pathways Research Internship focuses on biomedical engineering and biology. Research areas include cellular/molecular biology, genetics, neuroscience. Strong match for biology interest. Stipend and free -- no cost to family despite high income. Very competitive. Student should check yale.edu/pathways-science starting Nov 2026.",https://www.yale.edu/pathways-science,Yale.edu Pathways to Science (verified 2026-05-22)
PSAT/NMSQT,exams,🟢 Watch List,TBD,"Grades 10-12 (National Merit eligibility requires 11th grade, US citizen or permanent resident)",$18-$20,Fee waivers available for low-income students via school,"Test date: October 15, 2025 (primary), October 25, 2025 (Saturday alternate). School-administered, no individual registration. Scores released early December. Fully digital via Bluebook app.; repeats annually, check for 2027 dates",https://collegeboard.org/psat-nmsqt,College Board / NMSC
PSAT 10,exams,🟢 Watch List,TBD,Grade 10,Varies by school (often covered),Fee waivers available through school,Spring 2026 test window (typically March-April). Exact 2026 dates TBD by College Board (announced fall 2025). School-administered. Digital via Bluebook.; deadline may have passed,https://satsuite.collegeboard.org/psat-10,College Board
