name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Yale Young Global Scholars (YYGS) 2027,ct_local,🟡 Prep Now,2026-10-15,Current high school sophomores or juniors graduating May/June 2028 or 2029 (northern hemisphere); first-time YYGS participants,"$7,500 tuition (one 2-week session) + $85 Early Action / $100 Regular Decision application fee",Need-based financial aid up to 100% of tuition; application fee waivers for demonstrated need,"URGENT: Early Action deadline Oct 15, 2026 (decisions Dec 11; tuition due Dec 16). Regular Decision deadline Jan 6, 2027. Application opens September 2026. Official Yale program.",https://globalscholars.yale.edu/application-deadlines,globalscholars.yale.edu
Yale Pathways to Science Summer Scholars,ct_local,🟢 Watch List,"TBD (applications sent to Pathways Scholars in January, due late Feb; 2026 cycle due Feb 24)",Yale Pathways Scholars entering grades 10-12. Must first sign up as a Pathways Scholar (free); program serves New Haven-area middle/high school students,Free,Fully free; no cost to participants,Rising seniors get an optional residential component and college essay workshop; grades 10-11 scholars attend weekday workshops. Feeds into Yale Pathways Research Internships (YPRI).,https://onha.yale.edu/science-summer-scholars,onha.yale.edu
Yale Pathways Research Internships (YPRI),ct_local,🟢 Watch List,TBD (applications typically due Feb-Mar for the summer cycle),"Qualified public high school students from the New Haven area (geographic eligibility, not income-based)",Free (historically stipend-supported; confirm current cycle),Free; historically includes stipend support,Selective; run by Yale Office of New Haven Affairs. Confirm 2027 application window and eligibility on the page.,https://onha.yale.edu/science-outreach-home,onha.yale.edu
Yale Summer Session Pre-College Courses (2027),ct_local,🟢 Watch List,TBD (applications for summer 2027 typically open ~Dec 2026/Jan 2027),Current high school juniors or seniors age 16+ at program start (student qualifies for Summer 2027 after completing 11th grade),"~$8,000-10,000 per 5-week session (verify current 2027 rates)",Limited scholarships; Shafer Family Summer School Scholarships for New Haven public school juniors,2026 sessions were May 25-Jun 26 (A) and Jun 29-Jul 31 (B). Page not directly fetched this cycle - confirm 2027 dates/deadlines on summer.yale.edu.,https://summer.yale.edu,summer.yale.edu
Yale Invitational High School Debate & Speech Tournament,ct_local,🟡 Prep Now,2026-09-25,High school students grades 9-12 (event division rules vary),Entry fee per competitor (~$250; confirm on tabroom listing),None,"URGENT: registration opens Aug 6, 2026 and closes Sep 25, 2026 - within 60 days. Tournament runs Oct 2-4, 2026 on Yale campus.",https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=38436,tabroom.com
UConn Mentor Connection (Young Scholars Senior Summer),ct_local,🟢 Watch List,TBD (application deadline historically mid-March for the summer session),"Rising juniors and seniors; 3.0+ GPA; letters of recommendation, transcript, three essays; 80 participants/year","TBD (residential program; historically ~$1,500-2,000 - verify current cycle)",Financial aid/scholarships available for qualifying students (Jack Kent Cooke Foundation support),"Administered by the UConn Renzulli Center for Creativity, Gifted Education & Talent Development (gifted.uconn.edu). Program runs July-August. Third-party directory listing verified; confirm 2027 dates on UConn's site.",https://bscp.org/?resource_directory=uconn-mentor-connection,bscp.org
Connecticut High School Science & Humanities Symposium (CT HSSHS),ct_local,🟢 Watch List,Dec 2026 (TBD; 2025-26 cycle registration opened Nov 17 and closed Dec 22),CT high school students grades 9-12; each school may register a delegation of up to 10 students plus a chaperone,Free,Free; no cost to participate,Registration typically opens mid-November. National JSHS was suspended over federal funding; CT now runs its own independent symposium with the same format. Companion to the CT Science & Engineering Fair.,https://health.uconn.edu/connecticut-area-health-education-center-network/ct-high-school-science-and-humanities-symposium/,health.uconn.edu
Connecticut High School Regional Science Bowl (UConn),ct_local,🟢 Watch List,2026-11-23,Connecticut high school teams (4-5 students + coach); school-based registration; max 3 teams per school,$200 per team (2026 rate),None,"Preregistration to reserve a school spot opens Oct 5, 2026; Team 1 registration must be submitted by Nov 23, 2026 11:59pm ET. 2027 regional date TBD (2026 was Feb 28).",https://science.osti.gov/wdts/nsb/Regional-Competitions/High-School-Regionals/CT_Connecticut-High-School-Regional-Science-Bowl,science.osti.gov
UConn School of Computing AI Summer Camp,ct_local,🟢 Watch List,"TBD (2026 cycle: apply by Jul 1, decisions Jul 8, commit/pay by Jul 15; expect ~Jun-Jul 2027)",Rising 9th-12th grade students (Algebra I recommended); must commit to all 5 days,TBD (verify current cycle pricing),Financial assistance offered (2026 cycle included financial-assistance decisions),Details for 2027 posted via UConn Vergnano Institute for Impact (vergnano.institute.uconn.edu) and the School of Computing.,https://cmsc.uconn.edu,cmsc.uconn.edu
Connecticut Science & Engineering Fair (CSEF),ct_local,🟢 Watch List,2027-02-15,CT students grades 7-12 (high school division grades 9-12); entered via registered school or as independent student,Minimal entry fees (school-based; verify current rates),"Awards include cash, scholarships, and trips to ISEF and sponsor competitions","Timing matters: school registration window is Aug 24-Oct 31, 2026 - get a science teacher on board this fall. All registration forms and research plans due Feb 15, 2027 11:59pm. Fair week typically mid/late March.",https://ctsciencefair.org/registration,ctsciencefair.org
Connecticut Envirothon,ct_local,🟢 Watch List,Fall 2026 (TBD; registration deadline varies by year - contact CTEnvirothon@gmail.com),CT high school students grades 9-12 in teams of 5 (+2 alternates) with an advisor,$75 per team (2025-26 rate),Scholarships and prizes at the national Envirothon level,Advisor orientation typically mid-September; register via Google form on the site. 2026 field day was May 21; 2027 date TBD.,https://ctenvirothon.org/register/,ctenvirothon.org
Connecticut Bar Association High School Mock Trial Competition,ct_local,🟢 Watch List,"Fall 2026 (registration opens in the Fall; prelims begin Dec 7, 2026)","Connecticut high school teams (school-based, attorney-coached, 6-12 students typical)",Team participation fee (verify current; middle school rate is $250/team),None,"2026-27 prelims run Dec 7-18, 2026 in Bridgeport, Danbury, Hartford, Middletown, New Haven, Stamford, and Waterbury. Join/assemble your school's team this fall.",https://www.ctbar.org/members/volunteer-today/civics-education/mock-trial-competitions,ctbar.org
Rockland Fencers Club Summer Fencing Camp at Avon Old Farms (CT),ct_local,🟢 Watch List,TBD (2026 registration closed Jul 26; expect ~Jul 2027 for the next session),"Fencers of all levels, all three weapons",TBD (2026 fee not published in the listing; verify with the club),None,"2026 session has already passed (Aug 2-9, 2026); watch the club site for 2027 dates. New England alternative: Pioneer Valley Fencing Academy clinics in Easthampton, MA.",https://www.rocklandfencersclub.com/summer-camp,rocklandfencersclub.com
PSAT/NMSQT — Fall 2026 (Junior-Year National Merit Qualifier),exams,🟢 Watch List,School-set (ask counselor NOW); CB fall on-time ordering cutoff 2026-09-30,US 10th and 11th graders; school must choose to participate,~$18 College Board fee per student (schools may add admin fee; typical total ~$20),School/district fee waivers exist for income-eligible students — NOT needed for this profile (high-income family),"Register via school counselor/test coordinator in August–early September 2026; school sets its own internal deadline (examples: Ames HS Sep 18; SDUHSD Sep 2–9) and there is NO late-registration safety net — missed internal deadline = no test. CT Semifinalist cutoff was 223 Selection Index for Class of 2026 (confirmed; projected similar for Class of 2028). Selection Index = (2x R&W score + Math score) / 10, max 228; Reading & Writing double-weighted. Digital test in Bluebook, ~2h14m, score scale 320–1520. Prep: free official practice tests in Bluebook + Khan Academy. If school does not offer PSAT/NMSQT, NMSC Alternate Entry is possible.",https://satsuite.collegeboard.org/psat-nmsqt,satsuite.collegeboard.org
"PSAT 10 / PSAT 8/9 — Spring 2027 (optional, NOT National Merit)",exams,🟢 Watch List,TBD — spring window ~Mar–Apr 2027 (2026 window was Mar 2–Apr 30),10th graders (PSAT 10); 8th–9th graders (PSAT 8/9); school-administered,PSAT 10: $18; PSAT 8/9: $14 (CB fees; schools may add admin fee),School/district fee waivers available — not needed for this profile,PSAT 10 scores do NOT qualify for National Merit even when taken by 10th graders. Only relevant as a low-cost diagnostic. School decides participation and date.,https://satsuite.collegeboard.org/psat-10,satsuite.collegeboard.org
"SAT — September 12, 2026 (next open national date)",exams,🟢 Watch List,"2026-08-28 (regular); 2026-09-01 (late, +$38)","Open to all students, US and international",$68 in the US (international higher); +$38 late fee,SAT fee waivers cover 2 SATs + unlimited score sends for income-eligible 11th/12th graders — NOT needed for this profile,"Register by Aug 28, 11:59 pm ET (late window Aug 29–Sep 1 costs +$38). Students borrowing a College Board device must request it ≥30 days before test day. Fully digital via Bluebook, 2h14m, 400–1600 scale. All 2026-27 dates apply to US and international students.",https://satsuite.collegeboard.org/sat/dates-deadlines,satsuite.collegeboard.org
"ACT — September 19, 2026 (late registration still open)",exams,🟢 Watch List,2026-09-01 (late; regular 2026-08-14 already passed),"Open to all; national dates for US, territories, Puerto Rico",$70 base (English/Math/Reading composite) + $5 optional Science + $25 optional Writing; late +$42,ACT fee waiver covers base fee + late fees + score reports for income-eligible 11th/12th graders — NOT needed for this profile,Deadlines 11:59 pm CT. Science is now OPTIONAL (composite = EMR); most competitive applicants add Science (+$5). Register via MyACT; photo upload and standby deadlines Sept 14.,https://act.org/content/act/en/products-and-services/the-act/registration/test-dates.html,act.org
