name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Connecticut Science & Engineering Fair (CSEF),ct_local,🟢 Watch List,January-February 2027 (school-level registration); Fair typically held early March,"Connecticut high school students (grades 9-12) enrolled in public, private, or home schools",0,None needed — free to participate. Cash prizes for winners. UConn and Quinnipiac scholarships available for top finishers.,"EXCELLENT FIT: Strong biology/life science interests align with CSEF categories. Rising 11th grader has time to develop a competitive project over the summer and fall. Many Indian-origin students excel at CSEF; see winner lists showing Patel, Gupta, Sharma last names. Would be strong addition to college applications — Regeneron ISEF qualification is highly regarded.",https://ctsciencefair.org,ctsciencefair.org — official site and 2026 award lists (pdfs)
Connecticut High School Science and Humanities Symposium (CT HSSHS),ct_local,🟢 Watch List,December 15 (application/abstract submission); February 7 (final abstracts); Event: February 28,Connecticut high school students in grades 9-12,0,No cost — free to attend and present,"STRONG FIT: Low-stakes, no-cost way to present research and get feedback. Excellent warm-up for CSEF/ISEF. Held at UConn Health — networking with faculty. Can present biology/life sciences research. Also accepts humanities if student pursues law-related topic. No income restrictions.",https://health.uconn.edu/connecticut-area-health-education-center-network/ct-high-school-science-and-humanities-symposium/,ctjshs.com and health.uconn.edu — official symposium pages
Connecticut Science Olympiad (State Tournament),ct_local,🟢 Watch List,School registration typically fall; State tournament March 14 at Coventry Middle School (2026 date),Must be on a registered Connecticut high school Science Olympiad team,~$0 (school covers team registration fees),N/A — school-funded activity,"GOOD FIT: Biology events (Anatomy & Physiology, Disease Detectives, etc.) align with student interests. Team-based competition builds collaboration and leadership. Many Indian-origin students participate. Rising 11th grader can become a team leader.",https://www.ctscioly.org,ctscioly.org — official CT Science Olympiad site; ece.uconn.edu
Yale Summer Session for Pre-College Students,ct_local,🟢 Watch List,Typically January-April (rolling admission),"Current high school sophomores, juniors, or seniors; strong academic record; recommendation from guidance counselor or teacher","$5,070/credit hour; $10,705 for a 2-credit course; plus housing ~$4,075/session; total ~$14,000+ per session",NO financial assistance available for high school students per Yale Summer Session policy,"GOOD FIT if budget allows: Earn actual Yale transcript credits. Student could take biology, political science (pre-law), or other courses. No application fee waiver mentioned. Less selective than YYGS (broader admission) but more academically rigorous (actual Yale courses). High-income family means no financial barrier.",https://summer.yale.edu/apply/pre-college-students,summer.yale.edu — official Yale Summer Session page
UConn Pre-College Summer (PCS),ct_local,🟢 Watch List,Rolling admissions; early-bird deadlines typically in winter; programs run July-August,"Current high school students (grades 9-12); specific track prerequisites may apply (e.g., 1 year biology for science programs)","$1,100-$7,900 depending on courses and housing; $300 non-refundable deposit",Early-bird discounts available; limited need-based aid may be available; check website,"EXCELLENT FIT: Can do TWO different tracks in different summers or even same summer (different sessions). Pre-Law track ($1,100-$7,900) for law interest. Marine Biology & Conservation ($3,341-$3,441 residential) for biology interest. On UConn's main campus in Storrs, CT — close to home. More affordable than Yale programs.",https://precollege-summer.uconn.edu,precollege-summer.uconn.edu — official UConn Pre-College Summer site; admissionsight.com for Pre-Law track details
"Jackson Laboratory Summer Student Program (Farmington, CT)",ct_local,🟢 Watch List,Typically January-February for summer cohort,Graduating high school seniors (must have completed high school before start) and undergraduate students,0 (paid program),"All students receive $7,000 stipend plus room and board plus round-trip travel","FUTURE OPPORTUNITY: Cannot apply yet (requires graduating senior status). Outstanding program for genetics/genomics research — perfect for biology interest. Farmington, CT location is convenient. Extremely competitive. Consider this as a target for the summer after 11th grade (apply winter of junior year).",https://www.jax.org/education-and-learning/high-school-students-and-undergraduates/learn-earn-and-explore,jax.org — official Jackson Laboratory SSP page
UConn Early College Experience (ECE),ct_local,🟢 Watch List,Varies by school — enroll through high school guidance office typically in spring for following year,Enrolled in a participating Connecticut high school; meet course prerequisites per UConn and school requirements,Discounted UConn tuition per course (significantly less than on-campus tuition); cost varies by school district,Some school districts cover costs; financial aid available through UConn for qualifying students,STRONG ACADEMIC ENRICHMENT: Great way to earn transferable college credits in biology and pre-law while in high school. Available through most CT high schools. Low cost compared to residential programs. Student should check with their high school's ECE coordinator for availability of biology and political science courses.,https://ece.uconn.edu,ece.uconn.edu — official UConn ECE website
CT Bar Association High School Mock Trial Competition,ct_local,🟢 Watch List,School team registration typically in fall; competitions run winter-spring,Connecticut high school students (grades 9-12) whose school has a registered mock trial team,0 (school-sponsored activity),N/A — free through school participation,"EXCELLENT FIT FOR LAW INTEREST: Directly aligns with student's stated interest in law. Real courtroom experience at CT Supreme Court. Develops public speaking, legal reasoning, and teamwork. Nationally competitive. Many future lawyers do mock trial. Student should join or start a mock trial team at their high school.",https://www.ctbar.org,ctbar.org — Connecticut Bar Association; ctpost.com; sjcadets.org (2026 results)
YMCA Youth and Government (CT) — Youth in Law Track,ct_local,🟢 Watch List,Registration typically early fall; state assembly in spring,Connecticut high school students in grades 9-12,Varies by YMCA chapter (typically $50-200),Scholarships available through local YMCA chapters,GOOD FIT FOR LAW/LEADERSHIP: Youth in Law track aligns with law interest. Mock trial experience in actual hearing rooms. Also offers legislative track for policy/government interest. Less competitive than CBA Mock Trial — good way to build foundational skills. Rising 11th grader can grow into leadership roles in subsequent years.,https://www.ymcayag.org/ct-hs/,ymcayag.org/ct-hs/ — official CT YAG page; ladderinternships.com
Connecticut Debate Association (CDA),ct_local,🟢 Watch List,School membership registration in fall; tournaments run October-February,Connecticut high school students whose school is a CDA member,~$0 (school covers membership fees),N/A — school-funded activity,"COMPLEMENTARY TO LAW INTEREST: Debate builds essential law skills (argumentation, evidence analysis, oral advocacy). Can pair with mock trial. Rising 11th grader has 2 more years to compete. Many top college applicants (including Indian-origin students) have debate backgrounds.",https://www.ctdebate.org,ctdebate.org — official CDA website
USA Biology Olympiad (USABO),ct_local,🟢 Watch List,School registration fee $125 due by October 30; Open Exam typically November; Semifinals February; Nationals June,US high school students (grades 9-12); must take exam through registered school or authorized test center,$125 school registration fee (covers unlimited students),N/A — school covers registration; national finalists get travel to Harvard covered,EXCELLENT FIT FOR BIOLOGY: Directly tests biology knowledge at competitive level. Very strong signal for college admissions (top scorers often admitted to Ivy League). Many Indian-origin students excel at USABO. Student with 4.0+ GPA in biology should definitely attempt. Can take open exam in fall of 11th grade and again in 12th grade.,https://usabo-trc.org,usabo-trc.org — official USABO website
National Youth Science Camp (NYSC) — Connecticut Delegation,ct_local,🟢 Watch List,Typically February-March for summer program (rising seniors/graduating seniors),Current high school juniors and seniors (must be graduating senior by summer program start); Connecticut residents,0 (fully funded),"All expenses paid including travel, room, board, and program materials","DREAM OPPORTUNITY: All-expenses-paid, once-in-a-lifetime program. Very competitive (2 per state). Rising 11th grader should aim to apply winter of junior year. CT delegation selection is rigorous — strong CSEF/USABO results will help candidacy.",https://www.nysacademy.org/programs/nyscamp/,nysacademy.org; cas.casciac.org (CT Association of Schools)
Nutmeg State Games — Fencing,ct_local,🟢 Watch List,Registration typically June-July; Standard registration closes ~July 22; Late registration through July 24,"Open to all ages/skill levels; specific events may have rating restrictions (e.g., 'E & Under')",$50-75 per fencing event,None — participant-funded,GOOD FIT FOR FENCING INTEREST: Directly addresses the fencing interest listed in student profile. Low-cost local competition. Can help build fencing resume for college applications. Held in summer when school fencing season is over. Check askfred.net for specific event details.,https://csmg.org/nutmeg-state-games/,csmg.org/nutmeg-state-games/; askfred.net for fencing events
CIAC Fencing State Championships,ct_local,🟢 Watch List,Through school team registration; season typically winter (January-March),Must be a member of a CIAC/CHSFA affiliated high school fencing team,0 (school-sponsored),N/A — school-funded,"IMPORTANT FOR FENCING: The primary high school fencing competition pathway in CT. Student should ensure their school has a CIAC/CHSFA fencing team. If not, explore options through district or starting a club team.",https://www.chsfa.org/state-championships,chsfa.org — official CHSFA site; ciac.org
Big Y Scholarship Program,ct_local,🟢 Watch List,Typically spring (February-March),CT or MA resident enrolled or planning to enroll in an accredited post-secondary institution,N/A (scholarship),"Typically up to ~$2,500",EASY WIN OPPORTUNITY: High award rate relative to applicant pool. Low time investment application. Student should apply during senior year. One of the few CT-specific scholarships where high-income status doesn't disadvantage applicant.,https://scholarshipsandgrants.us/state/connecticut/,scholarshipsandgrants.us/state/connecticut/ — verified 2026 resource
Connecticut Education Foundation (CEF) Ethnic Minority Scholarship,ct_local,🟢 Watch List,Varies — typically spring of senior year,Ethnic minority high school senior in CT; plan to attend CT college; pursue teaching credential leading to CT certification,N/A (scholarship),"$2,000/year renewable for up to 4 years of undergraduate study",POSSIBLE IF INTERESTED IN TEACHING: Indian-origin student qualifies as ethnic minority applicant. Only relevant if student considers teaching career — not aligned with stated biology/law interests. Listed for completeness as a CT-specific ethnic minority scholarship.,https://cea.org/ethnic-minority-scholarship-fund/,cea.org — Connecticut Education Association; bigfuture.collegeboard.org
PACT (Pledge to Advance CT) — Free Community College,ct_local,🟢 Watch List,Apply upon high school graduation; FAFSA required,CT resident; graduate of a public or private CT high school (or GED); file FAFSA,0 (tuition-free),Full tuition and fees at CT community colleges,BACKUP OPTION: Not likely the primary path for this student (aiming for 4-year universities). Good to know as a safety option or for summer coursework. Student could take community college courses tuition-free before transferring.,https://www.ct.edu/admission/free,ct.edu/admission/free — official CT State free tuition page
New Haven Promise Scholarship,ct_local,🟢 Watch List,Senior year application; criteria tracked throughout high school,Attend a New Haven public high school all 4 years; 3.0+ GPA; 93%+ attendance; 40+ hours community service,N/A (scholarship),Up to full tuition at participating CT colleges and universities,"LOCATION-SPECIFIC: Only relevant if student attends New Haven public schools. Listed as an example of CT city-based Promise programs — check if student's city has one (e.g., Hartford Promise, Waterbury Promise).",https://www.newhavenpromise.org,newhavenpromise.org; scholarshipsandgrants.us
PSAT/NMSQT (National Merit Scholarship Qualifying Test) — 2026,exams,🟢 Watch List,"October 1–30, 2026 (school-day window); Saturday October 17, 2026 (alternate). School sets exact date and internal registration deadline, typically early fall 2026.",Primarily 11th graders (juniors) for National Merit qualification. 10th and 9th graders may take it but only junior-year scores count for National Merit.,$18–$30 (varies by school; many schools cover the fee or offer reduced pricing),Fee waivers available for eligible low-income students (covers full cost). Check with school counselor.,"CRITICAL for National Merit. CT is highly competitive — cutoff for Semifinalist is typically ~222-224 out of 228. This test is administered by the school, not individually registered. Contact guidance counselor at your high school in CT to confirm participation, dates, and any school-specific fees. Score release: December 2026. National Merit Semifinalists announced: September 2027.",https://satsuite.collegeboard.org/psat-nmsqt/test-dates,College Board SAT Suite (satsuite.collegeboard.org/psat-nmsqt/test-dates)
