name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Connecticut Science & Engineering Fair (CSEF) 2027,ct_local,🟢 Watch List,2027-02-01,Grades 7-12; CT resident or enrolled in CT school,$0 (free — school registration required),"~$170,000 in prizes; ISEF qualification",ISEF qualification pathway. Biology research project. CT-based student. Over 650+ participants annually.,https://www.ctsciencefair.org/,ctsciencefair.org
UConn High School Student Research Apprentice Program (SRAP),ct_local,🟢 Watch List,2027-03-01,11th grade CT students interested in biomedical research,"$0 (free — paid stipend of ~$5,000)","Paid stipend ~$5,000","Strong fit for biology interest. Free and paid. UConn Health in Farmington, CT.",https://health.uconn.edu/hcop/pathway-programs/high-school-student-research-apprentice-program/,health.uconn.edu
UConn Pre-College Summer Program,ct_local,🟢 Watch List,2027-04-01,"Current high school freshmen-sophomores-juniors, ages 14-17","$2,050-$2,350+ residential; scholarships available",Limited scholarships and early-bird discounts,"Courses: Pre-Med, Biomedical Engineering, Marine Biology. Non-credit and credit options.",https://precollege-summer.uconn.edu/,precollege-summer.uconn.edu
CT High School Science & Humanities Symposium (CT JSHS),ct_local,🟢 Watch List,2027-01-15,CT high school students (grades 9-12) conducting original research,$0 (free),Awards and scholarships available,Good opportunity to present biology research. CT-based at UConn Health.,https://health.uconn.edu/connecticut-area-health-education-center-network/ct-high-school-science-and-humanities-symposium/,health.uconn.edu
CT High School Mock Trial Competition,ct_local,🟢 Watch List,2026-10-15,CT high school students at participating schools,$0 (school-based),None,Best CT law opportunity. Contact school about existing mock trial team.,https://www.ctbar.org/members/volunteer-today/civics-education/mock-trial-competitions,ctbar.org
YMCA Youth and Government — Connecticut,ct_local,🟢 Watch List,2026-12-01,CT high school students (grades 9-12),~$100-200 (waivers available),Limited need-based waivers,Excellent for law/government interest. Annual Assembly at CT State Capitol in March.,https://www.ymcayag.org/,ymcayag.org
CAS-CIAC Scholar-Athlete Program,ct_local,🟢 Watch List,2027-03-01,CT high school student-athletes nominated by schools,$0 (school nomination),Recognition/award,Good recognition combining fencing and academics. School must nominate.,http://cas.casciac.org/,casciac.org
Quinnipiac University Pre-College Summer — Medical Microbiology,ct_local,🟢 Watch List,2027-05-01,Rising 10th-12th graders,"~$1,000-$1,500",Limited scholarships,"Biology/pre-med focus. Quinnipiac is in Hamden, CT — close for CT student.",https://www.qu.edu/academics/about-our-programs/summer-experiences-courses/high-school-students/,qu.edu
PSAT/NMSQT 2026,exams,🟢 Watch List,2026-10-17,11th graders (primary); 10th graders eligible but not for National Merit,$18–$30 (fee waivers available for eligible),National Merit Scholarship qualification,URGENT: This is the National Merit qualifying test for Class of 2028. Contact school counselor about registration. Aim for 220+.,https://satsuite.collegeboard.org/psat-nmsqt/test-dates,College Board
"SAT — August 22, 2026",exams,🔴 Action This Week,2026-08-07,Open to all high school students,$68 (fee waivers available),Fee waivers available,"Digital SAT, ~2h14min. First SAT of 2026-27 testing year. Good baseline test for junior.",https://satsuite.collegeboard.org/sat/dates-deadlines,College Board
