name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Connecticut Science & Engineering Fair (CSEF),ct_local,🟢 Watch List,December 1 (high school registration); October 31 (school registration),"Grades 7-12, Connecticut resident or enrolled in CT school (incl. Fishers Island)",Free to enter (nominal school registration fee may apply),,"ISEF-affiliated — top winners advance to Regeneron ISEF. Special awards in biology, medicine, environmental science, engineering. Strong fit for biology interest.",https://ctsciencefair.org/,web
Connecticut Science Olympiad (CTSO),ct_local,🟢 Watch List,Varies by school team registration (typically fall/early winter for spring tournaments),High school students enrolled in a CT school that registers a Science Olympiad team (C Division),School registration fee (modest; varies by team size),,"Team-based competition. Events include Anatomy & Physiology, Cell Biology, Genetics, etc. Strong fit for biology interest. State tournament at UConn.",https://www.ctscioly.org/,web
Connecticut High School Science and Humanities Symposium (CT HSSHS),ct_local,🟢 Watch List,"January 31, 2026 (registration for non-presenters); abstract submission in December",Connecticut high school students with original research projects (all fields including biology and humanities/law-adjacent topics),Free,,Top presenters win cash prizes. Excellent opportunity to present biology or interdisciplinary research at UConn Health in Farmington. 63rd annual symposium in 2026.,https://health.uconn.edu/connecticut-area-health-education-center-network/ct-high-school-science-and-humanities-symposium/,web
UConn Pre-College Summer (PCS),ct_local,🟢 Watch List,Rolling admissions (summer sessions June-August; apply early),"Current high school freshman, sophomore, or junior (age 14-17)","$3,341 - $3,441 residential per session; commuter options available",Limited financial aid available based on merit/need,Offers Pre-Law and Pre-Med: Explore the Medical Field courses — excellent fit for both biology and law interests. Earn college credit options available. Rising 11th graders welcome.,https://precollege-summer.uconn.edu/,web
UConn Pre-College Summer — Pre-Law Course,ct_local,🟢 Watch List,Rolling (summer sessions typically June-August; apply early),"Current high school freshman, sophomore, or junior (age 14-17)","Included in UConn PCS residential tuition (~$3,341-$3,441)",Limited financial aid available,"Excellent for law-interested students. Covers appellate processes, legal reasoning, legal education pathways. CT-based at UConn Storrs.",https://precollege-summer.uconn.edu/courses/pre-law/,web
UConn Pre-College Summer — Pre-Med: Explore the Medical Field,ct_local,🟢 Watch List,Rolling (summer sessions typically June-August; apply early),"Current high school freshman, sophomore, or junior (age 14-17)","Included in UConn PCS residential tuition (~$3,341-$3,441)",Limited financial aid available,Excellent for biology/pre-med interest. Hands-on experience at UConn Health. CT-based.,https://precollege-summer.uconn.edu/courses/pre-med-explore-the-medical-field/,web
Yale Young Global Scholars (YYGS),ct_local,🟢 Watch List,"January 7, 2026 (early action); later rounds may be available",Current high school sophomore or junior (graduating 2027 or 2028); age 16+,"Approximately $6,500 (includes tuition, room, board, activities)",Need-based financial aid available (full or partial),"Prestigious program in New Haven, CT. Offers tracks like Innovations in Science & Technology (biology-adjacent) and Politics, Law & Economics (law-adjacent). Strong fit for both interests.",https://globalscholars.yale.edu/,web
Yale Pathways to Science — Summer Scholars,ct_local,🟢 Watch List,Varies (typically early spring for summer sessions),"New Haven, West Haven, or Orange Public Schools high school students who are Yale Pathways to Science scholars",Free,Fully funded program,Excellent free opportunity but limited to New Haven area public schools. Pathways to Arts & Humanities may suit law interests. Yale Pathways Research Internships (YPRI) also available for advanced students.,https://onha.yale.edu/public-schools-and-youth/yale-pathways-to-science,web
Connecticut Bar Association High School Mock Trial Competition,ct_local,🟢 Watch List,Varies (school teams register in fall; competition runs winter-spring),Connecticut high school students whose school registers a mock trial team,School team registration fee (modest),,"Excellent fit for law interest. Develops courtroom advocacy, public speaking, critical thinking. CT attorneys earn MCLE credit for coaching.",https://www.ctbar.org/members/volunteer-today/civics-education/mock-trial-competitions,web
New England High School Ethics Bowl,ct_local,🟢 Watch List,"Typically fall registration for February competition (e.g., February 7, 2026)",High school students whose school registers an Ethics Bowl team (New England region including CT),School team registration fee (modest),,"Excellent for law/pre-law interest — develops ethical reasoning, argumentation, and public speaking. Accessible from CT.",https://nhseb.org/regionals,web
