name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Yale Young Global Scholars (YYGS),ct_local,🟢 Watch List,Fall 2026 (Sep) for Summer 2027 sessions. 2026 applications closed.,Ages 16-18 by July 19 of session year; current high school sophomore or junior (10th/11th); graduating May/June 2027 or 2028; first-time YYGS participant.,Tuition-based residential program. Need-based financial aid available.,Need-based financial aid available to all countries.,"Top-tier Ivy League pre-college program. Biology fit via IST track, law fit via PLE track. CT-based at Yale in New Haven. Highly selective.",https://globalscholars.yale.edu/,https://globalscholars.yale.edu/
Yale Summer Session for High School Students,ct_local,🟢 Watch List,Rolling admissions; priority deadlines typically in spring.,Rising high school juniors and seniors. Must demonstrate academic readiness for college-level coursework.,Tuition per course + housing/dining if residential.,Financial assistance available for eligible students.,Earn Yale college credits. Can take biology or law-related courses. CT-based at Yale in New Haven.,https://summer.yale.edu/,https://summer.yale.edu/
YSEA Science Fair Award (at Regeneron ISEF),ct_local,🟢 Watch List,Varies by regional science fair schedule.,"11th grade students presenting at regional high school science fairs in Computer Science, Engineering, Physics, or Chemistry.",Free (through participation in regional fairs).,Award/recognition. Cash prize typically included.,CT-based award from Yale alumni association. Being in Connecticut provides proximity to YSEA network. Also good for biology via regional fair participation.,https://ysea.org/student-awards/,https://ysea.org/
Connecticut Junior Science and Humanities Symposium (CT JSHS),ct_local,🟢 Watch List,Typically December-January (paper submission deadline).,High school students in Connecticut (grades 9-12) conducting original STEM research.,Free to participate.,Travel and lodging provided for national symposium winners.,Regional competition held in CT. Strong for biology research presentations. DoD-sponsored.,https://www.jshs.org/,https://www.jshs.org/
Yale Pathways to Science,ct_local,🟢 Watch List,"Varies by program component. Usually fall for academic year, spring for summer.","Connecticut middle and high school students, with priority for New Haven residents. Must demonstrate academic interest in STEM.",Free for participants.,"Fully free. Includes meals, materials, and transportation support.",Excellent CT-specific program from Yale. Free STEM exposure. Biology labs and research available. Good for building Yale relationships.; [DEAD: https://pathways.yale.edu/],,https://pathways.yale.edu/
FIRST Robotics Competition - Connecticut Region,ct_local,🟢 Watch List,Team registration typically opens in fall. Season runs Jan-Apr.,Students grades 9-12 on registered FRC teams.,"Team registration ~$6,000; individual costs vary by team.",Team sponsorships and grants available through FIRST.,CT has active FRC community with many teams. Engineering/robotics focus. Builds leadership and STEM skills.; [DEAD: https://www.firstinspires.org/team-event-search/region?region=connecticut],,https://www.firstinspires.org/
SAT (Scholastic Assessment Test) — 2026-2027 Test Dates,exams,🟢 Watch List,Varies by test date — see individual test dates below. Registration typically closes ~2 weeks before each test date. Late registration available through ~5 days before test date with additional fee.,All students — no grade restriction. Typically taken by 11th and 12th graders.,"$68 (base registration fee). Additional fees: late registration, change fee, international testing fees apply.",Fee waivers available for qualifying low-income students through school counselors. College Board provides up to 2 free score sends with fee waiver.,"2026-2027 SAT test dates (U.S. and international):
• June 6, 2026 — Reg: May 22, 2026; Late/Change: May 26, 2026
• Aug. 22, 2026 — Reg: Aug. 7, 2026; Late/Change: Aug. 11, 2026
• Sept. 12, 2026 — Reg: Aug. 28, 2026; Late/Change: Sept. 1, 2026
• Oct. 3, 2026 — Reg: Sept. 18, 2026; Late/Change: Sept. 22, 2026
• Nov. 7, 2026 — Reg: Oct. 23, 2026; Late/Change: Oct. 27, 2026
• Dec. 5, 2026 — Reg: Nov. 20, 2026; Late/Change: Nov. 24, 2026
• March 6, 2027 — Reg: Feb. 19, 2027; Late/Change: Feb. 23, 2027
• May 1, 2027 — Reg: Apr. 16, 2027; Late/Change: April 20, 2027
• June 5, 2027 — Reg: May 21, 2027; Late/Change: May 25, 2027
Registration at mysat.collegeboard.org. Device loan available if needed (request 30+ days before test date).",https://satsuite.collegeboard.org/sat/dates-deadlines,College Board / SAT Suite — satsuite.collegeboard.org
PSAT/NMSQT (Preliminary SAT/National Merit Scholarship Qualifying Test) — 2026,exams,🟢 Watch List,"October 1–30, 2026 (testing window). Saturday option: October 17, 2026. Registration is handled by the school; deadlines set by individual schools/districts.",Typically 10th and 11th graders. The PSAT/NMSQT taken in 11th grade (fall of junior year) qualifies for National Merit. Class of 2028 will take as 11th graders in October 2027.,Typically $18–$25 (varies by school). Fee waivers available for qualifying low-income students.,Qualifies students for National Merit Scholarship Program and other recognition programs. Fee waivers available through school counselors.,"Testing window: October 1–30, 2026. Saturday date: October 17, 2026. Schools may choose a single school day within this window. Contact school counselor/principal to confirm participation. The PSAT/NMSQT for National Merit qualification is the one taken in 11th grade (fall 2027 for Class of 2028).",https://satsuite.collegeboard.org/psat-nmsqt/test-dates,College Board / SAT Suite — satsuite.collegeboard.org
PSAT 10 — 2026-2027 Test Dates,exams,🟢 Watch List,Testing window typically in February–March 2027 (spring of 10th grade year). Exact dates set by schools.,10th grade students only.,Typically $18 (varies by school). Fee waivers available.,Fee waivers available through school counselors for qualifying students.,Administered by schools only (not through individual registration). Contact school counselor for participation. Provides practice for the SAT and PSAT/NMSQT.,https://satsuite.collegeboard.org/psat-10/test-dates,College Board / SAT Suite — satsuite.collegeboard.org
ACT — 2026-2027 Test Dates,exams,🟢 Watch List,"Standard ACT test dates for 2026-2027 (typical schedule — check ACT.org for exact dates):
• September 2026
• October 2026
• December 2026
• February 2027
• April 2027
• June 2027
• July 2027
Registration deadline ~4-5 weeks before each test date. Late registration available ~2-3 weeks before with additional fee.",All students — no grade restriction. Typically taken by 11th and 12th graders.,"$70 (ACT without writing); $95 (ACT with writing). Additional fees: $5 late registration, $25 test date change (late period).",Fee waivers available for qualifying low-income students through school counselors (up to 2 free ACT tests).,"National test dates typically offered in September, October, December, February, April, June, and July. Register at myact.org. Late registration, standby testing, and test date change available with additional fees. Score reports sent to up to 4 colleges for free (if codes provided at registration).; [DEAD: https://www.act.org/content/act/en/products-and-services/the-act/test-dates.html]",,ACT.org — www.act.org
AP (Advanced Placement) Exams — 2026 Administration,exams,🟢 Watch List,"AP Exams: May 4–8 and May 11–15, 2026. Registration/ordering handled by school AP coordinators. Digital portfolio submission deadlines vary by subject (e.g., April 30, 2026 for performance tasks).",Students enrolled in AP courses at their school. Some schools allow independent study students to take exams.,~$98 per exam (standard fee). Reduced fee of ~$67 for students with financial need. Late ordering fee may apply.,Fee reduction available for qualifying students ($33+ reduction per exam). School-based fee waivers may also be available.,"2026 AP Exam administration schedule (Week 1: May 4-8; Week 2: May 11-15). Digital portfolio deadlines: April 30, 2026 (performance tasks). Late testing available for conflicts. AP coordinators at schools handle registration. 2027 AP exam dates not yet published (typically follow same May schedule). Check apstudents.collegeboard.org for specific subject dates.",https://apstudents.collegeboard.org/exam-dates,College Board — apstudents.collegeboard.org
