name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Connecticut Science & Engineering Fair (CSEF),general_competitions,🟢 Watch List,Registration opens October/November 2025 for 2026 fair. School-level deadlines vary.,"Grades 9-12, Connecticut schools or homeschool",Free to participate (school-coordinated registration),Cash prizes and scholarships for winners; advancement to Regeneron ISEF,The official ISEF-affiliated fair for Connecticut. Biology project categories available. Good fit for student with research project.; [DEAD: https://csef.uconn.edu/],,https://csef.uconn.edu/
Connecticut Science Olympiad,general_competitions,🟢 Watch List,"Registration deadline: December 15, 2025. Payment deadline: December 15, 2025.","Grades 9-12, must participate through a Connecticut school team",$325 per team (CT registration) + $75 per team (National fee) = ~$400 per team; schools typically fund this,No direct student aid needed as schools register teams,Strong biology track. Multiple biology-specific events make this ideal for biology interest. Student should ask science teacher to be team coach.; [DEAD: https://www.ctscienceolympiad.org/],,https://www.ctscienceolympiad.org/
New England Bio-Olympiad (NEBio),general_competitions,🟢 Watch List,Registration opens late fall 2025 (Oct/Nov). Open Round typically January/February 2026.,"Grades 9-12 in Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, or New York",Free (no registration fee),"Awards: medals, certificates, recognition. Qualifying pathway to USABO.",Excellent biology-specific competition. CT students are eligible as part of New England region. No income restrictions.; [DEAD: https://nebio.org],,https://nebio.org
CT Junior Science & Humanities Symposium (JSHS),general_competitions,🟢 Watch List,Call for papers: late Oct 2025. Paper submission: early Dec 2025. CT regional symposium: March 2026.,Grades 11-12. US citizen or permanent resident. School-nominated. Connecticut residents.,Free (no registration fee; school covers travel),Scholarships and awards for top presenters; advancement to National JSHS,CT-specific. Students present original research. Student could start biology research project in 10th grade to prepare for 11th grade submission.,https://www.jshs.org/connecticut,https://www.jshs.org/connecticut
Connecticut Envirothon,general_competitions,🟢 Watch List,"Registration typically opens September 2025. Regional competitions April 2026, State competition May 2026.","Grades 9-12, Connecticut high school teams of 5 students plus advisor",Free for state competition (sponsored by CT DEEP and partners); team covers transportation,Awards and recognition; state winners advance to National Envirothon,Strong environmental biology focus. Hands-on field testing. Good fit for biology interest with environmental angle.,https://ctenvirothon.org,https://ctenvirothon.org
Connecticut Bar Association High School Mock Trial Competition,general_competitions,🟢 Watch List,Registration opens September 2025. Case materials released Fall 2025. Competition runs January-March 2026.,"Grades 9-12, Connecticut high school teams",Free to participate (school registers team),State champion advances to nationals. Awards at state championship.,"Directly relevant to law interest. CT-specific. Strong programs at Greenwich HS, Hall HS (West Hartford), Danbury HS, Staples HS (Westport).",https://www.ctbar.org/for-the-public/community/mock-trial,https://www.ctbar.org/for-the-public/community/mock-trial
Edward Zelinsky Youth and Law Forum (formerly CT Youth and Law Forum),summer_programs,🟢 Watch List,Applications typically open in February for summer session (late June/early July). 2026 dates TBD.,Rising high school juniors and seniors. Connecticut residents. Strong academic record and demonstrated interest in law.,FREE (tuition-free program),Program is entirely free of charge,Excellent law-focused CT program. Free. Highly selective. Student will be eligible summer after 10th grade (before 11th).,https://education.uconn.edu/,https://education.uconn.edu/ (search 'Zelinsky Youth and Law Forum')
UConn Mentor Connection,summer_programs,🟢 Watch List,"Likely February 2026 (based on prior years, typically mid-to-late February). 2026 dates TBD.",Rising high school juniors and seniors (typically 16+). Minimum 3.0 GPA.,"~$3,500-$4,500 for 3-4 week residential program",Limited need-based financial aid available,Strong CT-specific biology research opportunity. One-on-one faculty mentorship. Good for demonstrating deep research interest in biology.; [DEAD: https://precollege.uconn.edu/mentor-connection],,https://precollege.uconn.edu/mentor-connection
Yale Young Global Scholars (YYGS),summer_programs,🟢 Watch List,Applications open September/October 2025. 2026 dates TBD.,Current high school students (typically 10th-11th grade at time of application),"~$6,700-$7,000 (includes tuition, room, board, meals)",Need-blind financial aid available (up to 100% of tuition),World-class program hosted in CT at Yale. Biology-minded student could apply to STEM track. High income family covers cost easily.,https://globalscholars.yale.edu/,https://globalscholars.yale.edu/
Yale Pathways to Science Scholars,summer_programs,🟢 Watch List,Applications open Fall 2025. Deadline typically early February 2026 (for Summer 2026 session).,Current 9th-11th graders. US citizen or permanent resident living in Connecticut. Strong academic achievement and STEM interest.,"FREE (all meals, housing, materials covered; travel assistance available)",Fully funded by Yale University and donors,Excellent free STEM program exclusively for CT students. On Yale campus. No income restriction despite being free. Very competitive.; [DEAD 404: https://www.yale.edu/yalepathways],,https://www.yale.edu/yalepathways
