name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Yale Pathways to Science (free Yale STEM programs for CT public school students),ct_local,🟢 Watch List,TBD,"Students entering grades 6-12 enrolled in New Haven, West Haven, or Orange/Amity (CT) public schools; nomination by math/science teacher, guidance counselor, or administrator required. YPRI internships and Summer Scholars (entering grades 10-12) are open only to enrolled Pathways Scholars.",Free (no participation fee),None needed - fully free,"New Haven, CT (Yale campus). 2026-27 Scholars decisions announced late Aug 2026; next entry window is spring 2027 nominations. Summer Scholars (~100 students, entering grades 10-12) runs 2 weeks each July. YPRI = 7-week summer lab internship for qualified New Haven-area public HS students.",https://onha.yale.edu/public-schools-and-youth/yale-pathways-to-science,onha.yale.edu
Connecticut Science & Engineering Fair (CSEF) 2027,ct_local,🟡 Prep Now,2026-10-31,"Any student in grades 7-12 residing in or enrolled in a Connecticut school (plus Fishers Island, NY). Entry requires a registered school/fair OR approved independent-student status (contact Registration Chair by Oct 15); one project per student.",$50 per project registration fee (schools usually cover it; independent students pay $50 after chair approval by Oct 15),None,"Judging/finalist rounds held in person in spring (recent years at Quinnipiac University, Hamden; 2027 schedule TBD). Student forms due Feb 15, 2027; abstract due Mar 1, 2027. Top high school projects can advance to Regeneron ISEF.",https://ctsciencefair.org/registration,ctsciencefair.org
Connecticut High School Science & Humanities Symposium (CT HSSHS),ct_local,🟢 Watch List,TBD,"CT high school students in grades 9-12 with an original STEM research project to present (oral/poster), or as non-presenting observers. School delegation (max 10 students) with chaperone (parent/guardian may serve).",Free (no charge to attend or present),None needed - free (top oral presenters win scholarships at the event),"UConn Health campus, Farmington, CT (in-person symposium ~8am-1pm; online judging week before). 2025-26 cycle: registration opened Nov 17, 2025, extended deadline Dec 22, 2025, symposium Feb 28, 2026; presenters' workshop co-run with CSEF in early Feb. Federal JSHS funding was suspended, so CT AHEC now runs this state version independently.",https://health.uconn.edu/connecticut-area-health-education-center-network/ct-high-school-science-and-humanities-symposium,health.uconn.edu
CT HOSA (Future Health Professionals) - State Leadership Conference & competitive events,ct_local,🟢 Watch List,TBD,High school students enrolled in a CT school with a registered CT HOSA chapter (min 5 paid members per chapter to compete). Students must be registered/paid HOSA members; registration is handled through the chapter advisor.,"~$20/year HOSA membership affiliation fee, ~$40 per student per competitive event, plus SLC conference registration fees",None,"2026 SLC: Waterbury Career Academy, Waterbury CT. 2026 deadlines: competitive events registration Jan 5-31, online testing Feb 2-14, digital uploads by Feb 14, SLC Mar 14. 2027 dates TBD (check cthosa.org in late 2026).",https://cthosa.org/state-leadership-conference/,cthosa.org
Connecticut Bar Association High School Mock Trial Competition (2026-27),ct_local,🟢 Watch List,TBD,CT high school students on school-sponsored teams. Team must register when the 2026-27 window opens (announced 'in the Fall' 2026); no individual registration. 2026 champion: Weston High School.,$350 per school team (school-funded; individuals join through their school team),None,"2026-27 preliminary trials (courthouses): Bridgeport Dec 11, Danbury Dec 10, Hartford Dec 16, Middletown Dec 7 & 14, New Britain Dec 11, New Haven Dec 8, Stamford Dec 18, Waterbury Dec 18 (2026). Playoffs Feb 5, 2027; semifinals Mar 5, 2027; championship at CT Supreme Court, Hartford, spring 2027.",https://www.ctbar.org/members/volunteer-today/civics-education/mock-trial-competitions,ctbar.org
Connecticut Bar Association Law Camp (free week-long legal program at UConn School of Law),ct_local,🟢 Watch List,TBD,CT high school students who apply (application with written responses). NOTE: program's stated goal is to assist students who overcame adversity or would be the first in their family to enter the legal profession and cannot afford private camps - admissions prioritize this profile.,Free for admitted campers,Free for selected campers (program explicitly aims to serve students who 'cannot afford traditional private camps'),"UConn School of Law, Hartford CT. 2026 cycle: July 6-10, 2026, application deadline May 31, 2026. 2027 dates TBD (application typically opens spring, deadline ~end of May, program first full week of July). Contact lawcamp@ctbar.org.",https://www.ctbar.org/public/k-12/law-camp,ctbar.org
Connecticut Science Center Pathways to STEM Nights (free Hartford events),ct_local,🟢 Watch List,Rolling,Open to middle and high school students and their families (CT-wide; not school-restricted). Registration required (flyer links a registration form; contact K. Rogers at ctsciencecenter.org).,Free (students and families; parking/bus passes included),None needed - free event,"Connecticut Science Center, 250 Columbus Blvd, Hartford CT. General STEM Night: Oct 15, 2026; Healthcare Night: Nov 12, 2026 (5-8pm). Presented with sponsors (Cigna, Delta Dental, Boehringer Ingelheim); good for networking with CT employers and pre-college programs.",https://ctsciencecenter.org/familyregistration,ctsciencecenter.org
PSAT/NMSQT - October 2026 administration (National Merit qualifying test for Class of 2028),exams,🟢 Watch List,TBD,Grade 11 (juniors); sophomores may take for practice only,~$18 (College Board school fee per 2026-27 educator pricing); some schools add a local fee or cover it; fee waivers are need-based only,None - fee waivers are need-based and not applicable,"Registration is school-based: contact the school counselor NOW (early Sept 2026) - there is no individual College Board registration and missing the school sign-up can forfeit National Merit eligibility entirely (no CB makeup). National testing window Oct 1-30, 2026 plus Saturday option Oct 17, 2026 (schools pick ONE date; some CT districts test mid-October). College Board on-time school ordering deadline is Sept 30, 2026. Digital test (~2h14m, Bluebook). Scores typically release December 2026 (exact fall-2026 release dates not yet published). NMSC semifinalists announced ~September 2027. Connecticut's National Merit semifinalist cutoff is typically among the highest in the nation (recent years ~221-223 of 228 Selection Index - verify current year). CAUTION: some College Board pages still show cached 2025 text ('Oct 1-31, Saturdays Oct 11 & 18') - those were 2025 dates (Oct 11/18 2026 are Sundays); the official 2026-27 page says Oct 1-30 + Sat Oct 17, 2026.",https://satsuite.collegeboard.org/psat-nmsqt/test-dates,College Board SAT Suite (PSAT/NMSQT Test Dates page; SAT Suite Dates & Deadlines; 2026-27 Educator Quick Reference Guide)
"SAT - October 3, 2026 test date",exams,🔴 Action This Week,2026-09-18,No grade restriction (typically grades 11-12 for admissions use),$68 SAT registration (2026-27); late fee +$38; change fee $34,None - fee waivers are need-based and not applicable,"Test date Sat Oct 3, 2026. Register by Fri Sept 18, 2026 (11:59pm ET); late registration through Tues Sept 22, 2026 (+$38). Also upcoming: Nov 7, 2026 (register by Oct 23, 2026; late Oct 27) and Dec 5, 2026 (register by Nov 20, 2026; late Nov 24). Digital SAT ~2h14m in Bluebook; students needing a borrowed device must register ~30 days early. If the student is a strong NM contender, note the Oct 3 SAT is before the Oct PSAT/NMSQT and can serve as a benchmark.",https://satsuite.collegeboard.org/sat/dates-deadlines,"College Board SAT Suite - official 'SAT Dates and Deadlines' page (fetched and verified Sept 7, 2026)"
"ACT - October 17, 2026 national test date",exams,🔴 Action This Week,2026-09-11,No grade restriction (ACT recommends 11th/12th grade for admissions use),"$70 ACT (EMR composite, no writing); Science add-on +$5; Writing add-on +$25; late registration fee $42; change fee $49",None - fee waivers are need-based and not applicable,"Registration deadline Fri Sept 11, 2026 (11:59pm CT) - only ~4 days away as of today (Sept 7, 2026). Late registration through Sept 29, 2026 (+$42). Accommodations request deadline Sept 11, 2026. ACT is now shorter: core is English/Math/Reading with Science and Writing as optional add-ons; paper or online at test centers. Initial scores Oct 27, 2026. Note: Sept 19, 2026 ACT (reg deadline Aug 14) has already closed.",https://www.act.org/content/act/en/products-and-services/the-act/registration/test-dates.html,"ACT.org official national test dates page + official ACT Fees page (fetched and verified Sept 7, 2026)"
AP Exams - May 2027 administration (registration opens fall 2026),exams,🟡 Prep Now,2026-11-13,High school students enrolled in (or approved to self-study) AP courses; juniors fully eligible,"$99 per AP Exam in the U.S. (unchanged for 2026-27); late-order fee +$40/exam (orders Nov 14, 2026 - Mar 12, 2027); unused/canceled exam fee $40",None - the $37/exam fee reduction is need-based and not applicable,"Exam dates: May 3-14, 2027; late testing May 17-21, 2027 (documented conflicts only). College Board final ordering deadline for full-year/fall courses: Fri Nov 13, 2026, 11:59pm ET; orders after that incur +$40/exam until the Mar 12, 2027 spring-orders/fall-changes deadline. Student deadline = ask the AP coordinator NOW (schools typically require commitment + payment in Sept-early Nov). SSD accommodations deadline: Jan 22, 2027. Digital-portfolio deadlines: AP Art & Design May 7, 2027 (11:59pm ET); AP CSP / Seminar / Research Apr 30, 2027. Scores release ~July 2027. Subject-specific exam days: apstudents.collegeboard.org/exam-dates.",https://apcentral.collegeboard.org/about-ap/school-year-timeline,"College Board AP Central (2026-27 AP Coordinator important updates / school-year timeline / exam fees pages, verified Sept 7, 2026)"
"CLT (Classic Learning Test) - 2026-27 remotely proctored national dates (e.g., Sat Oct 17, 2026)",exams,🟡 Prep Now,2026-10-08,Grades 11-12,$112 remotely proctored CLT (in-school/paper pricing differs); unlimited free score shares included,None - CLT has no need-based waiver applicable to this family,"Register online through the student CLT account (app.cltexam.com); results in ~3 weeks. Sections: Verbal Reasoning, Grammar/Writing, Quantitative Reasoning; optional essay for in-school/online testers. CONFLICT: Sat Oct 17, 2026 also collides with the ACT national date and any school Saturday PSAT/NMSQT. Registration-deadline dates verified from CLT's official military-service-academy and 2026-27 in-school dates/deadlines listings; the student dashboard shows currently open registrations - confirm exact date there. In-school (school-day) CLT dates also exist for fall 2026 (e.g., Sept 16-17, Oct 28-29, 2026) if the school participates.",https://cltexam.com/tests/clt,"CLT official (cltexam.com/tests/clt; CLT FAQ pricing page; info.cltexam.com in-school dates & deadlines PDFs, verified Sept 7, 2026)"
SAT School Day - Connecticut state junior administration (spring 2027 window),exams,🟢 Watch List,TBD,Grade 11 (CT public school juniors; class of 2028 cohort),Free for Connecticut public high school juniors (state-funded SAT School Day; school orders via district),Not applicable - already free/state-funded in CT public schools,"National spring in-school window: Mar 1 - Apr 30, 2027 (College Board in-school dates page). CT typically tests juniors in April; the 2027 state date has NOT been announced as of today (Sept 7, 2026) - mark TBD and verify with the school/district or CT State Department of Education later this school year. This free CT state SAT does not affect National Merit (only the Oct 2026 PSAT/NMSQT does). Students at CT private/independent schools are outside the state program and should use weekend SAT dates (Mar 6 / May 1 / Jun 5, 2027).",https://satsuite.collegeboard.org/k12-educators/educator-experience/in-school/start/dates,"College Board SAT Suite in-school 'Test Dates and Deadlines' (fall 2026 window Oct 1-30 / spring 2027 window Mar 1-Apr 30, verified Sept 7, 2026); CT state date TBD"
"2026 October North American Cup (NAC) — Orlando, FL",fencing,🔴 Action This Week,2026-09-02,"Cadet (born 2010-2013); Y14 (born 2012-2015); Division I (A/B/C rated seniors, born 2013 or earlier); Cadet Team.",$109/yr USA Fencing Competitive membership (2026-27 fee) + per-event entry fee set at registration (member.usafencing.org/details/tournaments/12312); late entry allowed at higher fee until the night before each event. Travel/hotel extra (Fastbreak.AI official housing).,None,"Season opener Oct 9-12, 2026. Regular-fee deadline (Sept 2, 2026) has already passed as of Sept 7, 2026, but late registration is accepted at a higher fee up to the night before competition. Important: a NEW points & events structure took effect Aug 1, 2026 (two-year trial): unified Cadet/Junior/Division I points lists, best-6 results count, and large fields (>168) split into Elite and National tiers. Cadet results here feed the unified Cadet list used for Junior Olympics 2027 qualification standings (qualification deadline Dec 9, 2026).",https://usafencing.org/2026-october-nac,"['https://usafencing.org/events-national', 'https://usafencing.org/2026-october-nac', 'https://usafencing.org/new-points-and-events-structure']"
"2026 November North American Cup (NAC) — Columbus, OH",fencing,🔴 Action This Week,2026-09-23,"Junior (born 2007-2013); Cadet (born 2010-2013); Division I (A/B/C rated, born 2013 or earlier).",$109/yr USA Fencing Competitive membership (2026-27) + per-event entry fee set at registration (member.usafencing.org); late entry allowed at higher fee until the night before each event.,None,"Junior and Cadet national points earned here count toward the unified Trial points lists (new structure, Aug 1, 2026) and JO 2027 qualification (deadline Dec 9, 2026). No NJ/CT regional event falls on this weekend, so most Northeast juniors travel here. Register by Sept 23, 2026 for the regular fee; withdrawal deadline Oct 21, 2026 (50% refund). GRACE fee-waiver application deadline for this NAC was Sept 2, 2026.",https://usafencing.org/2026-november-north-american-cup,"['https://usafencing.org/events-national', 'https://usafencing.org/2026-november-north-american-cup']"
"2026 December SJCC (Super Junior & Cadet Circuit) — Milwaukee, WI",fencing,🟡 Prep Now,2026-10-07,Junior (born 2007-2013); Cadet (born 2010-2013).,$109/yr USA Fencing Competitive membership (2026-27) + per-event entry fee set at registration (member.usafencing.org); travel/hotel extra.,None,"The USA Fencing event page for the 2027 Junior Olympics states that SJCC results count toward JO 2027 qualification. SJCCs draw the deepest Junior/Cadet fields of the fall, and strong results here lift standings ahead of the Dec 9, 2026 qualification deadline. Under the new two-tier format, fields above 168 entries split into Elite (capped 112) and National (up to 224) competitions. Withdrawal deadline Nov 4, 2026 (50% refund). A second (May) SJCC is scheduled for spring 2027 with dates/location TBA.",https://usafencing.org/2026-december-sjcc,"['https://usafencing.org/events-national', 'https://usafencing.org/2026-december-sjcc', 'https://usafencing.org/2027-junior-olympics-january-nac']"
"2027 Junior Olympics & January NAC — Oklahoma City, OK",fencing,🟢 Watch List,2026-11-11,Junior (born 2007-2013); Cadet (born 2010-2013); Junior Team; must ALSO be qualified (see notes).,"$109/yr USA Fencing Competitive membership (2026-27) + per-event entry fee set at registration; regular fee due by Nov 11, 2026 (late fee after). Travel/hotel via Fastbreak.AI booking.",None,"Biggest Cadet/Junior event of the year and the selection event for the Cadet/Junior World Championship team. KEY DEADLINES: registration opens Sept 30, 2026; regular-fee deadline Nov 11, 2026; qualification deadline Dec 9, 2026; petition deadline Dec 13, 2026; withdrawal (50% refund) Dec 16, 2026. How to qualify (2026-27 rules): national/regional points on the unified Trial standings as of Dec 9 (SJCCs and NACs feed it), OR results at your division's JO qualifier — USA Fencing confirmed division qualifiers still exist: each qualifier must actually be held, needs at least 4 registered fencers, and awards spots that scale with field size (4-8 fencers = 1 spot, 9-16 = 2, 17-32 = 4, 33+ = 6). Connecticut Division's JO qualifier (typically hosted by Sword in the Scroll Fencing Academy, Willimantic, in Oct-Nov) is the local route — watch ctdivusfa.com/events. The December SJCC (Dec 4-6) counts toward qualification and is the last big points event before the deadline.",https://usafencing.org/2027-junior-olympics-january-nac,"['https://usafencing.org/2027-junior-olympics-january-nac', 'https://usafencing.org/news/2026/july/29/usa-fencing-new-points-events-structure-important-updates-before-aug-1-plus-the-full-points-tables', 'https://ctdivusfa.com/events']"
