name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Connecticut Science & Engineering Fair (CSEF),ct_local,🟢 Watch List,January 2027 (registration); project uploads early March 2027,Grades 7-12 residing or enrolled in CT schools,Free for students (schools must affiliate),"Almost $200,000 in prizes and scholarships",Primary ISEF qualification pathway for CT students. Start research project over summer.,https://ctsciencefair.org/,https://ctsciencefair.org/
CT Science Olympiad,ct_local,🟢 Watch List,"Early registration by Dec 31, 2026",CT high school teams (grades 9-12),$220/team early registration; $240 after Dec 31,N/A,"Biology events include Anatomy & Physiology, Cell Biology, Genetics. School must register a team.",https://www.ctscioly.org/,https://www.ctscioly.org/
CT Envirothon,ct_local,🟢 Watch List,Registration opens September 2026; Field Day in May 2027,CT high school students grades 9-12,$75 registration fee per team,Fee waiver available if school cannot pay,Hands-on environmental/ecology focus. Good complement to biology interest.,https://ctenvirothon.org/,https://ctenvirothon.org/
CT High School Science and Humanities Symposium (CT HSSHS),ct_local,🟢 Watch List,Abstracts due ~January 2027; Symposium typically late February,CT high school students conducting original research,Free,Cash prizes for top presenters,Good stepping stone before CSEF/ISEF. Held in conjunction with CT Science & Engineering Fair.,https://health.uconn.edu/connecticut-area-health-education-center-network/ct-high-school-science-and-humanities-symposium/,https://health.uconn.edu/connecticut-area-health-education-center-network/ct-high-school-science-and-humanities-symposium/
Connecticut High School Regional Science Bowl,ct_local,🟢 Watch List,Registration fall 2026; competition February 2027,CT high school teams; max 3 teams per school,$200 registration fee per team,N/A,Biology questions included. Hosted at UConn Storrs - local for CT students.,https://science.osti.gov/wdts/nsb/Regional-Competitions/High-School-Regionals/CT_Connecticut-High-School-Regional-Science-Bowl,https://science.osti.gov/wdts/nsb/Regional-Competitions/High-School-Regionals/CT_Connecticut-High-School-Regional-Science-Bowl
UConn High School Research Apprentice Program,ct_local,🟢 Watch List,April 2027 (for Summer 2027),"Completed junior year (rising senior), B average+, 16+, CT resident attending CT high school",Free; students receive a stipend,Stipend provided,Ideal biology/medicine research exposure. Limited to ~15 students.,https://health.uconn.edu/hcop/pathway-programs/high-school-student-research-apprentice-program/,https://health.uconn.edu/hcop/pathway-programs/high-school-student-research-apprentice-program/
UConn Pre-College Summer: Pre-Law,ct_local,🟢 Watch List,Rolling; priority deadline ~June 2027,High school students ages 14-17,"~$2,050 course fee; additional for housing/meals",No need-based aid mentioned,Directly relevant to law interest. 1-week session. CT resident gets local experience.,https://precollege-summer.uconn.edu/courses/pre-law/,https://precollege-summer.uconn.edu/courses/pre-law/
CBA LAW Camp (Connecticut Bar Association),ct_local,🟢 Watch List,"May 31, 2026 (for July 2026 session). Check for 2027 dates.",CT high school students,Free (sponsored by CBA),Free program,Perfect for law interest. Sponsored by CBA Diversity Committee - Indian-American/Asian-American student strong fit.,https://www.ctbar.org/public/k-12/law-camp,https://www.ctbar.org/public/k-12/law-camp
Nutmeg State Games - Fencing Competition,ct_local,🟢 Watch List,Registration opens spring 2027; standard registration closes July 2027,CT residents; all ages and skill levels,$50-75 per fencing event,N/A,Directly relevant to fencing interest. Olympic-style multi-sport event in CT.,https://csmg.org/nutmeg-state-games/,https://csmg.org/nutmeg-state-games/
Yale Pathways to Science Summer Scholars,ct_local,🟢 Watch List,Typically spring (April 2027),"New Haven, West Haven, or Orange public school students entering grades 10-12",Free,Fully funded (free),Excellent free STEM opportunity at Yale for qualifying CT students.,https://onha.yale.edu/public-schools-and-youth/yale-pathways-to-science,https://onha.yale.edu/public-schools-and-youth/yale-pathways-to-science
Yale Pathways Research Internships (YPRI),ct_local,🟢 Watch List,February 2027 (for Summer 2027),Must be a Yale Pathways to Science Scholar; enrolled in NH/WH/Orange public high school; GPA 3.0+,"Free; paid $2,500 stipend","$2,500 stipend provided",Premier paid research opportunity at Yale. 7 weeks in active research labs.,https://ssri.sites.yale.edu/,https://ssri.sites.yale.edu/
CIAC Connecticut High School Fencing State Championships,ct_local,🟢 Watch List,Determined by school team schedule; championships in spring,CT high school students with a school fencing team enrolled in CIAC,Through school team (CIAC membership covered by school),N/A,Official CT high school state competition. Must be on school fencing team.,https://www.casciac.org/,https://www.casciac.org/
PSAT/NMSQT 2026,exams,🟢 Watch List,"August 24, 2026 (school registration). Saturday test: October 17, 2026. School-day testing: Oct 1-30, 2026.",11th grade (rising Class of 2028); US students,$18 (schools may add administrative fee),Fee waivers available for eligible students; National Merit scholarships for top scorers,Gateway to National Merit Scholarship Program. CT cutoff scores among highest nationally.,https://satsuite.collegeboard.org/psat-nmsqt/test-dates,College Board - SAT Suite
"SAT - August 22, 2026",exams,🟢 Watch List,"August 7, 2026 (registration). Late registration: +$38",All students,$68 (US); Late registration: +$38,Fee waivers available for eligible students,Digital adaptive format. Score release ~2 weeks after test date.,https://satsuite.collegeboard.org/sat/dates-deadlines,College Board - SAT Suite
"ACT - September 19, 2026",exams,🟢 Watch List,"August 14, 2026 (registration). Late registration: September 1, 2026.",All students,$68 (without writing); $93 (with optional writing section),Fee waivers available for eligible students,Optional writing section $25 extra. Online testing may be available.,https://www.act.org/content/act/en/products-and-services/the-act/registration/test-dates.html,ACT.org
CLT (Classic Learning Test) - Multiple Dates,exams,🟢 Watch List,"Varies by test date. Next: July 16, 2026 (reg closes Jul 9). Aug 22, Oct 8, Nov 5, Dec 2026, Feb 3, 2027.",11th and 12th grade students,$112 (remotely proctored),Financial assistance available covering up to full cost,Remote proctoring available. Free practice tests upon account creation.,https://www.cltexam.com/tests/clt/,Classic Learning Test (CLT)
AP Exams - May 2027,exams,🟢 Watch List,Fall 2026 (school registration). Late orders until March 2027 incur $40/exam late fee.,Students enrolled in AP courses,$99 per exam (~$139 with late order fee),College Board offers $9 per exam fee reduction for eligible students,2027 schedule expected to be released by College Board in late summer/fall 2026. Scores released July 2027.,https://apcentral.collegeboard.org/exam-administration-ordering-scores/exam-dates,College Board - AP Central
October 2026 North American Cup (NAC),fencing,🟢 Watch List,"September 9, 2026 (registration)",Open to USA Fencing Competitive members. Rising 11th grader eligible for Cadet (U17) and Junior (U20) events.,$100-200 estimated registration + travel to Orlando,USA Fencing Foundation grants available,"Oct 9-12, 2026 in Orlando, FL. First tournament to earn national points for season.",https://www.usafencing.org/events-national,USA Fencing
CT Division Junior Olympic Qualifiers,fencing,🟢 Watch List,"September 2, 2026 (registration closes)","USA Fencing Competitive member, CT Division member. Cadet and Junior age categories.",$40-60 estimated registration fee,None specified,CRITICAL tournament for JO qualification. CT-based student must attend this.,https://www.askfred.net/tournaments/0f58644c-39ad-42be-9ed4-03e8b82bc6de,AskFRED
Neil Lazar RYC/RJCC (New Haven),fencing,🟢 Watch List,"Typically March (2026 was Mar 11). 2027 dates TBD, expected similar spring.","RYC: Y10, Y12, Y14. RJCC: Cadet and Junior. Open to all USA Fencing Competitive members.",$60-90 estimated registration fee,None specified,Excellent local opportunity. No qualification required. Annual spring event.,https://www.askfred.net/tournaments/ca083e89-10da-432c-81ab-3827446b2c8b,AskFRED
Neil Lazar Div1/Div2/Veteran ROC,fencing,🟢 Watch List,Typically August. 2026 date TBD.,"Division 1 (all ratings), Division 2 (C and under). Open to all USA Fencing Competitive members.",$50-80 estimated registration fee,None specified,"Held at Southern Connecticut State University or NYA Sports Center, Newtown, CT.",https://www.askfred.net/tournaments/28c66a63-79f3-465f-a3d9-db89181ad410,AskFRED
Rockland Fencers Club Sleepaway Camp at Avon Old Farms,fencing,🟢 Watch List,Likely July 2026 (check website for registration),"All levels, all weapons. Ages typically 10-18.","$1,200-1,800 estimated (sleepaway camp including room/board/coaching)",Contact camp director for scholarship options,"Aug 2-9, 2026 at Avon Old Farms School, Avon, CT. Excellent pre-season training.",https://www.rocklandfencersclub.com/summer-camp,Rockland Fencers Club
Tim Morehouse Fencing Club Summer Camps (CT),fencing,🟢 Watch List,Rolling registration (typically fills early),Youth and teen fencers of all levels,$650 introductory week; multi-week discounts available,Limited scholarships may be available,Founded by Olympic silver medalist Tim Morehouse. Excellent pre-season training.,https://www.timmorehousefencing.com/nyc-summer-fencing-camps,Tim Morehouse Fencing Club
CT Division Summer Nationals Qualifier,fencing,🟢 Watch List,Typically March/April annually. 2027 date TBD.,"CT Division USA Fencing members. Division II (C and under), Division III (D and under).",$40-60 estimated registration fee,None specified,"Historically at Sword in the Scroll, Willimantic, CT. Monitor CT Division website.",https://www.askfred.net/tournaments/a016bc85-1772-4682-bfaa-b3734afc6351,AskFRED
"National Merit $2,500 Scholarship",general_competitions,🟢 Watch List,"PSAT/NMSQT: October 17, 2026. Semifinalist: September 2027. Finalist: February 2028.",National Merit Finalists selected by committee based on PSAT/NMSQT scores and academic record.,Free (PSAT/NMSQT ~$18),"$2,500 one-time award",Merit-based only. No financial need requirement.; [DEAD: https://www.nationalmerit.org/s/1758/interior.aspx?sid=1758&gid=2&pgid=451],,National Merit Scholarship Corporation
Regeneron Science Talent Search (STS),general_competitions,🟢 Watch List,November 2027 (for Class of 2028 seniors). Apply fall of senior year.,High school seniors in US or US citizens abroad.,Free to apply,"$2,000 per scholar + school award. Top prize: $250,000.",Extremely prestigious. Requires significant independent research. Start biology research project NOW.,https://www.societyforscience.org/regeneron-sts/,Society for Science
Regeneron International Science and Engineering Fair (ISEF),general_competitions,🟢 Watch List,"2027 ISEF: May 8-14, 2027, Los Angeles. Qualify through CSEF in CT (March 2027).","Grades 9-12, under 20 as of May 1. Must qualify through ISEF-affiliated fair.",Affiliated fair fee ~$25-50. ISEF free for qualifiers.,Some travel support available through Society for Science,Most prestigious science fair globally. Start independent biology research in summer.,https://www.societyforscience.org/isef/,Society for Science
"Yale Young Global Scholars (YYGS) - Politics, Law & Economics",law_civics,🟢 Watch List,"Regular Decision: January 7, 2026; Early Action: November 2025 (past for 2026 cycle; check late 2026 for 2027)",Current high school sophomores and juniors (ages 16-18 by program start),"$7,000 residential tuition + $95 application fee ($80 EA)",Need-based financial aid available; over $3 million awarded annually; need-blind admissions,"Ideal for student interested in law and civics. Located in New Haven, CT - close to home. Competitive (13% acceptance rate). Also offers IST (Innovations in Science & Technology) for biology interest.",https://globalscholars.yale.edu/politics-law-economics,Yale Young Global Scholars
NSLC Law & Advocacy Program (at Yale),law_civics,🟢 Watch List,"Rolling admissions; programs fill on a first-come, first-served basis",High school students; must be 16+ for Yale campus location,"Approximately $3,195-$6,100 depending on location and duration (9-day to 18-day options)","Over $500,000 in scholarships awarded annually; need-based and merit-based",Multiple sessions throughout summer. Includes hands-on mock trial experience at actual law school. Yale location is ideal for CT-based student.,https://www.nslcleaders.org/youth-leadership-programs/law-advocacy/,NSLC
