name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Connecticut Science Olympiad State Tournament,ct_local,🟢 Watch List,TBD for 2026-2027; Division C tournament typically held in April,Grades 9-12 for Division C; teams of up to 15 students per school/organization in Connecticut,Varies by team registration,None directly,"CT Science Olympiad is a qualifying pathway to national Science Olympiad. Good for STEM-oriented students. Events span biology, chemistry, physics, engineering.",https://www.ctscioly.org/,https://www.ctscioly.org/
Connecticut History Day,ct_local,🟢 Watch List,Regional contest registration opens early 2026; state contest typically March/April,Grades 6-12 in Connecticut; schools may send 4 projects per category (max 36 projects per school),Varies by region,None directly,"2026 state winners already posted. Regional contests in Fairfield, Mansfield/Storrs, New Haven, Norwich, Torrington. Good for humanities/ history-oriented students. Theme-based annual competition.",https://www.historydayct.org/,https://www.historydayct.org/
Yale Summer Session for Pre-College Students,ct_local,🟢 Watch List,"Applications open; Session A: May 25, Session B: Jun 29, 2026","Pre-college (rising high school juniors/seniors), visiting college students, Yale College students, international students, adult learners","$5,480 per 1-credit course; $10,705 per 2-credit course","Financial assistance limited to Yale College students receiving need-based aid (50% tuition reduction up to $5,480 max); pre-college students generally not eligible for YSS need-based aid","Highly selective. Pre-college applicants need strong academic record, recommendations. CT residents can commute; residential option available. Good for academic enrichment and college application boost.",https://summer.yale.edu/apply/application-process,"https://summer.yale.edu/apply/dates-and-deadlines, https://summer.yale.edu/apply/tuition-and-fees, https://summer.yale.edu/apply/application-process"
Yale Summer Session Signature Programs,ct_local,🟢 Watch List,"2026 dates: Session B June 29 - July 31, 2026","Pre-college students, Yale College students, visiting students","$10,705 per 2-credit program (Acting, Journalism, Politics)",Same as YSS financial assistance (limited to Yale College need-based aid recipients),"Cohort-based immersive experience with field trips, guest speakers. Distinct from standard YSS courses.",https://summer.yale.edu/academics/signature-programs,https://summer.yale.edu/academics/signature-programs
Junior Science and Humanities Symposium (JSHS) - National Level,ct_local,🟢 Watch List,2026 scholarship information available; regional deadlines vary,High school students (grades 9-12) in participating regions including Connecticut,Free to participate,Scholarships awarded to national winners; 2026 JSHS Scholarship Form available,JSHS website currently being updated. CT-specific regional competition information not yet posted. National scholarships available. Students present original STEM research.,https://www.jshs.org/,https://www.jshs.org/
Connecticut FIRST Robotics Competition (FRC),ct_local,🟢 Watch List,FRC season typically runs January-April; 2026 CT events TBD,Grades 9-12 (ages 14-18); team-based participation through schools or community organizations in CT,Varies by team registration and equipment costs,FIRST scholarship opportunities available for participants,Strong STEM and engineering focus. FIRST offers over $80M in scholarships. CT has active FRC teams. Good for hands-on engineering experience.,https://www.firstinspires.org/team-event-search#type=events&sort=date&programs=frc&year=2026&location=CT,https://www.firstinspires.org/
CHET Connecticut Higher Education Trust (529 Savings Plan),ct_local,🟢 Watch List,Ongoing; contributions can be made anytime,Connecticut residents of any age; account can be opened by parents/guardians for a child beneficiary,No cost to open; investment fees apply,"State income tax deduction for CT residents on contributions up to $10,000 (married filing jointly)","Not a scholarship/competition - a savings vehicle. CHET has a matching grant program (CHET Dream Big) for eligible low-to-moderate income families (needs-based, excluded per criteria).; [DEAD: https://www.chetrust.com/]",,https://www.chetrust.com/
New England Science & Engineering Fair (NESEFF),ct_local,🟢 Watch List,Varies by fair; generally fall/winter for regional fairs leading to ISEF in May,High school students; qualified through local/regional affiliated fairs,Varies,ISEF awards millions in scholarships and prizes,Regeneron ISEF is the world's largest international pre-college science competition. CT students typically qualify through CSEF.; [DEAD: https://www.societyforscience.org/affiliated-fairs/],,https://www.societyforscience.org/
New England Fencing Competitions (USAFencing Regional Circuit),ct_local,🟢 Watch List,Varies; regional events throughout the year,Open to all ages/levels with USA Fencing membership; youth/junior categories for high school students,USA Fencing membership required; competition entry fees apply,None,New England Fencing Conference (NEFC) and local clubs host competitions. USA Fencing membership required (~$75/year for youth).,https://www.usafencing.org/,https://www.usafencing.org/
CASCIAC Connecticut Science Fair (State Level),ct_local,🟢 Watch List,Varies by school/sport/activity,Connecticut high school students participating via member schools,Varies,None,CASCIAC governs CIAC (CT Interscholastic Athletic Conference) activities including academic competitions. Science fair details not fully accessible from this environment.,https://www.casciac.org/,https://www.casciac.org/
