name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Connecticut Science & Engineering Fair (CSEF),ct_local,🟢 Watch List,2026-12-01,Grades 7-12 students residing in or enrolled at CT schools or Fishers Island; projects must be original student work,$45,None listed,"In-person at Quinnipiac University, Hamden, CT in early March; also ISEF-affiliated. Contact registrationhs@ctsciencefair.org for fee questions.",https://ctsciencefair.org/registration/,ctsciencefair.org
Connecticut STEM Fair (CT STEM Foundation),ct_local,🟢 Watch List,TBA,Connecticut students participating through registered schools (up to 30 completed projects per school; 50 total projects per school),$35,None listed,"Virtual format; fair split into two days (Completed Projects Fair and Project Proposals Fair, dates TBD). CT STEM Foundation also offers a Tier 2 Summer STEM Scholarship (up to $500) for CT high school students.",https://www.ctstemfoundation.org/engagement,ctstemfoundation.org
"Connecticut High School Science & Humanities Symposium (CT HSSHS, formerly CT JSHS)",ct_local,🟢 Watch List,2026-12-15,Students in grades 9-12 at Connecticut high schools; each school may select a delegation of up to 10 students,Free,None (free event; scholarships and cash awards for winners),"In-person at UConn Health, Farmington, CT (Saturday, ~8am-1pm); online judging week before; free registration; under-18 students need a registered chaperone.",https://health.uconn.edu/connecticut-area-health-education-center-network/ct-high-school-science-and-humanities-symposium/,health.uconn.edu
Connecticut History Day (National History Day CT),ct_local,🟢 Watch List,TBA,"Connecticut students in grades 6-12 (junior division: 6-8; senior division: 9-12), typically via school programs or independent entries",$10,None listed,"Run by the Connecticut Democracy Center, in residence at Connecticut's Old State House, Hartford. 2027 theme announced each fall; strong fit for law/history interests (special prizes include American Legal History).",https://historydayct.org/,historydayct.org
Quahog Bowl - National Ocean Sciences Bowl CT/RI Regional,ct_local,🟢 Watch List,TBA,High school teams of 4-5 students plus an adult coach representing a CT or RI school or community organization,Free,None (winners receive travel support to nationals),"In-person at UConn Avery Point, Groton, CT each February; teams practice through the school year; strong fit for marine biology interest.",https://nosb.org/map,nosb.org
Connecticut Regional Science Bowl (DOE National Science Bowl),ct_local,🟢 Watch List,2026-11-23,High school teams (4 students + 1 alternate + teacher coach) from Connecticut schools; max 3 teams per school; 42-team cap,$200,None listed,"In-person at UConn Storrs (191 Auditorium Rd, Storrs, CT); day-long event with round robin and playoff rounds, awards ceremony in evening.",https://science.osti.gov/wdts/nsb/Regional-Competitions/High-School-Regionals/CT_Connecticut-High-School-Regional-Science-Bowl,science.osti.gov
UConn Early College Experience (ECE),ct_local,🟡 Prep Now,2026-10-15,Connecticut high school students at UConn ECE partner schools who meet course prerequisites and school selection criteria (many students ready as juniors or seniors),$50 per credit,Fee waivers for students qualifying for Free/Reduced-Price Meals (not applicable to high-income families),Courses taught at the student's own high school; credits transfer to many colleges. Check with the school's ECE site representative for course offerings and deadlines.,https://ece.uconn.edu/courses,ece.uconn.edu
UConn Pre-College Summer (PCS),ct_local,🟢 Watch List,2027-04-01,High school students (typically rising grades 10-12; program excludes graduating seniors),"$2,250 per course (early bird by Apr 1); $2,350 after; Hartford non-residential ~$1,100","Income-based scholarships (50% off under $100k household, 87% off under $80k) - not applicable to high-income families",Residential at UConn Storrs or non-residential at UConn Hartford; one-week sessions in July-August; students take 1-4 courses with multi-course discounts.,https://precollege-summer.uconn.edu/,precollege-summer.uconn.edu
Yale Discovery to Cure High School Internship (Peter E. Schwartz Program),ct_local,🟢 Watch List,2027-02-14,Current high school juniors (entering senior year after the program) who are at least 16 years old; school nomination required - each high school may nominate up to two rising seniors,Free,None needed (no tuition; program is free for admitted students),"In-person at Yale School of Medicine, New Haven, CT, June-August; 6.5 weeks; ideal for biology/pre-med interest.",https://medicine.yale.edu/obgyn/education/discovery-to-cure/education,medicine.yale.edu
Connecticut High School Mock Trial Competition (CT Bar Association),ct_local,🟢 Watch List,TBA,Connecticut high school teams (typically 6-10 students plus teacher/attorney coach); registration for the 2026-2027 competition opens Fall 2026,$350 per team,None listed,School-based team activity - student should join or start a team through their high school; runs December through March; perfect fit for law interest.,https://www.ctbar.org/members/volunteer-today/civics-education/mock-trial-competitions,ctbar.org
